timestamp,sleepStage
 637454400,0
 637454430,0
 637454460,0
 637454490,0
 637454520,0
 637454550,0
 637454580,0
 637454610,0
 637454640,0
 637454670,0
 637454700,0
 637454730,0
 637454760,0
 637454790,0
 637454820,0
 637454850,0
 637454880,0
 637454910,0
 637454940,0
 637454970,0
 637455000,0
 637455030,0
 637455060,0
 637455090,0
 637455120,0
 637455150,0
 637455180,0
 637455210,0
 637455270,0
 637455240,0
 637455300,0
 637455330,0
 637455360,0
 637455390,0
 637455420,0
 637455450,0
 637455480,0
 637455510,0
 637455540,0
 637455570,0
 637455600,0
 637455630,0
 637455660,0
 637455690,0
 637455720,0
 637455750,0
 637455780,0
 637455810,0
 637455840,0
 637455870,0
 637455900,0
 637455930,0
 637455960,1
 637455990,1
 637456020,1
 637456050,1
 637456080,1
 637456110,1
 637456140,1
 637456170,1
 637456200,2
 637456230,2
 637456260,2
 637456290,2
 637456320,2
 637456350,2
 637456380,2
 637456410,2
 637456440,2
 637456470,2
 637456500,2
 637456530,2
 637456560,3
 637456590,3
 637456620,3
 637456650,2
 637456680,2
 637456710,2
 637456740,2
 637456770,2
 637456800,2
 637456830,2
 637456860,2
 637456890,2
 637456920,2
 637456950,3
 637456980,2
 637457010,2
 637457040,2
 637457070,2
 637457100,2
 637457130,2
 637457160,2
 637457190,2
 637457220,2
 637457250,2
 637457280,2
 637457310,2
 637457340,2
 637457370,2
 637457400,2
 637457430,2
 637457460,2
 637457490,2
 637457520,2
 637457550,2
 637457580,2
 637457610,2
 637457640,2
 637457670,2
 637457700,2
 637457730,2
 637457760,2
 637457790,2
 637457820,2
 637457850,2
 637457880,2
 637457910,2
 637457940,2
 637457970,2
 637458000,2
 637458030,2
 637458060,2
 637458090,2
 637458120,2
 637458150,2
 637458180,2
 637458210,2
 637458240,2
 637458270,4
 637458300,4
 637458330,4
 637458360,4
 637458390,0
 637458420,0
 637458450,1
 637458480,1
 637458510,2
 637458540,2
 637458570,2
 637458600,2
 637458630,2
 637458660,2
 637458690,2
 637458720,2
 637458750,2
 637458780,2
 637458810,2
 637458840,2
 637458870,2
 637458900,2
 637458930,2
 637458960,2
 637458990,2
 637459020,2
 637459050,2
 637459080,2
 637459110,4
 637459140,4
 637459170,4
 637459200,4
 637459230,4
 637459260,4
 637459290,4
 637459320,4
 637459350,4
 637459380,4
 637459410,0
 637459440,1
 637459470,1
 637459500,1
 637459530,1
 637459560,2
 637459590,2
 637459620,2
 637459650,2
 637459680,2
 637459710,2
 637459740,2
 637459770,2
 637459800,2
 637459830,2
 637459860,2
 637459890,2
 637459920,2
 637459950,2
 637459980,2
 637460010,2
 637460040,2
 637460070,2
 637460100,2
 637460130,2
 637460160,2
 637460190,2
 637460220,2
 637460250,2
 637460280,2
 637460310,2
 637460340,3
 637460370,3
 637460400,2
 637460430,2
 637460460,3
 637460490,2
 637460520,2
 637460550,2
 637460580,2
 637460610,2
 637460640,2
 637460670,3
 637460700,2
 637460730,2
 637460760,2
 637460790,2
 637460820,2
 637460850,2
 637460880,2
 637460910,2
 637460940,2
 637460970,2
 637461000,2
 637461030,2
 637461060,2
 637461090,2
 637461120,2
 637461150,2
 637461180,2
 637461210,2
 637461240,2
 637461270,2
 637461300,2
 637461330,2
 637461360,2
 637461390,2
